Iteration,Classes_Dep_Var,Num_Ind_Vars,Num_Categorical_Vars,Classes_Ind_Vars,Sample_Size,Model,Hyperparameter_1,Hyperparameter_2,Hyperparameter_3,Misclassification,Accuracy,Precision,Recall,F1_Score
1,2,3,0,2,100,LogisticRegression,logit,,,0.19999999999999996,0.8,0.8,0.8,0.8
1,2,3,0,2,100,LogisticRegression,probit,,,0.19999999999999996,0.8,0.8,0.8,0.8
1,2,3,0,2,100,DecisionTree,entropy,0.05,0.1,0.5,0.5,0.5,0.5,0.4712103407755582
1,2,3,0,2,100,DecisionTree,entropy,0.05,0.2,0.5,0.5,0.5,0.5,0.4712103407755582
1,2,3,0,2,100,DecisionTree,entropy,0.1,0.1,0.5,0.5,0.5,0.5,0.4712103407755582
1,2,3,0,2,100,DecisionTree,entropy,0.1,0.2,0.5,0.5,0.5,0.5,0.4712103407755582
1,2,3,0,2,100,DecisionTree,gini,0.05,0.1,0.5,0.5,0.5,0.5,0.4712103407755582
1,2,3,0,2,100,DecisionTree,gini,0.05,0.2,0.5,0.5,0.5,0.5,0.4712103407755582
1,2,3,0,2,100,DecisionTree,gini,0.1,0.1,0.43333333333333335,0.5666666666666667,0.6041666666666666,0.5666666666666667,0.5238095238095238
1,2,3,0,2,100,DecisionTree,gini,0.1,0.2,0.43333333333333335,0.5666666666666667,0.6041666666666666,0.5666666666666667,0.5238095238095238
1,2,3,0,2,100,DecisionTree,f_test,0.05,0.1,0.33333333333333337,0.6666666666666666,0.8,0.6666666666666666,0.625
1,2,3,0,2,100,DecisionTree,f_test,0.05,0.2,0.33333333333333337,0.6666666666666666,0.8,0.6666666666666666,0.625
1,2,3,0,2,100,DecisionTree,f_test,0.1,0.1,0.33333333333333337,0.6666666666666666,0.8,0.6666666666666666,0.625
1,2,3,0,2,100,DecisionTree,f_test,0.1,0.2,0.33333333333333337,0.6666666666666666,0.8,0.6666666666666666,0.625
1,2,3,0,2,100,RandomForest,entropy,0.05,0.1,0.6333333333333333,0.36666666666666664,0.3660714285714286,0.36666666666666664,0.3659621802002225
1,2,3,0,2,100,RandomForest,entropy,0.05,0.2,0.43333333333333335,0.5666666666666667,0.5852272727272727,0.5666666666666667,0.5417156286721504
1,2,3,0,2,100,RandomForest,entropy,0.1,0.1,0.43333333333333335,0.5666666666666667,0.5852272727272727,0.5666666666666667,0.5417156286721504
1,2,3,0,2,100,RandomForest,entropy,0.1,0.2,0.3666666666666667,0.6333333333333333,0.7083333333333334,0.6333333333333333,0.5970695970695971
1,2,3,0,2,100,RandomForest,gini,0.05,0.1,0.5333333333333333,0.4666666666666667,0.4603174603174603,0.4666666666666667,0.4444444444444445
1,2,3,0,2,100,RandomForest,gini,0.05,0.2,0.6,0.4,0.3981900452488688,0.4,0.3973214285714286
1,2,3,0,2,100,RandomForest,gini,0.1,0.1,0.4666666666666667,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333
1,2,3,0,2,100,RandomForest,gini,0.1,0.2,0.4,0.6,0.6397515527950312,0.6,0.5693779904306221
1,2,3,0,2,100,RandomForest,f_test,0.05,0.1,0.4666666666666667,0.5333333333333333,0.5925925925925927,0.5333333333333333,0.4444444444444444
1,2,3,0,2,100,RandomForest,f_test,0.05,0.2,0.30000000000000004,0.7,0.7083333333333334,0.7,0.696969696969697
1,2,3,0,2,100,RandomForest,f_test,0.1,0.1,0.16666666666666663,0.8333333333333334,0.8348214285714285,0.8333333333333334,0.8331479421579533
1,2,3,0,2,100,RandomForest,f_test,0.1,0.2,0.4,0.6,0.6397515527950312,0.6,0.5693779904306221
1,2,3,0,2,100,ANN,1,3.0,SGD,0.4,0.6,0.6799999999999999,0.6,0.55
1,2,3,0,2,100,ANN,1,3.0,Adam,0.1333333333333333,0.8666666666666667,0.8733031674208145,0.8666666666666667,0.8660714285714285
1,2,3,0,2,100,ANN,1,3.0,RMSprop,0.16666666666666663,0.8333333333333334,0.8348214285714285,0.8333333333333334,0.8331479421579533
1,2,3,0,2,100,ANN,1,15.0,SGD,0.5,0.5,0.25,0.5,0.3333333333333333
1,2,3,0,2,100,ANN,1,15.0,Adam,0.16666666666666663,0.8333333333333334,0.8348214285714285,0.8333333333333334,0.8331479421579533
1,2,3,0,2,100,ANN,1,15.0,RMSprop,0.4,0.6,0.6799999999999999,0.6,0.55
1,2,3,0,2,100,ANN,2,3.0,SGD,0.5,0.5,0.25,0.5,0.3333333333333333
1,2,3,0,2,100,ANN,2,3.0,Adam,0.16666666666666663,0.8333333333333334,0.8348214285714285,0.8333333333333334,0.8331479421579533
1,2,3,0,2,100,ANN,2,3.0,RMSprop,0.2666666666666667,0.7333333333333333,0.7777777777777778,0.7333333333333333,0.7222222222222221
1,2,3,0,2,100,ANN,2,15.0,SGD,0.4666666666666667,0.5333333333333333,0.7586206896551725,0.5333333333333333,0.4034090909090909
1,2,3,0,2,100,ANN,2,15.0,Adam,0.19999999999999996,0.8,0.8229665071770335,0.8,0.7963800904977376
1,2,3,0,2,100,ANN,2,15.0,RMSprop,0.5,0.5,0.25,0.5,0.3333333333333333
1,2,3,0,2,500,LogisticRegression,logit,,,0.18666666666666665,0.8133333333333334,0.8135563067069916,0.8133333333333334,0.8133001422475107
1,2,3,0,2,500,LogisticRegression,probit,,,0.18666666666666665,0.8133333333333334,0.8135563067069916,0.8133333333333334,0.8133001422475107
1,2,3,0,2,500,DecisionTree,entropy,0.05,0.1,0.30666666666666664,0.6933333333333334,0.6934709126489949,0.6933333333333334,0.6932788051209103
1,2,3,0,2,500,DecisionTree,entropy,0.05,0.2,0.30666666666666664,0.6933333333333334,0.6934709126489949,0.6933333333333334,0.6932788051209103
1,2,3,0,2,500,DecisionTree,entropy,0.1,0.1,0.31333333333333335,0.6866666666666666,0.6893939393939393,0.6866666666666666,0.6855345911949685
1,2,3,0,2,500,DecisionTree,entropy,0.1,0.2,0.31333333333333335,0.6866666666666666,0.6893939393939393,0.6866666666666666,0.6855345911949685
1,2,3,0,2,500,DecisionTree,gini,0.05,0.1,0.31999999999999995,0.68,0.6801280910869951,0.68,0.6799431009957326
1,2,3,0,2,500,DecisionTree,gini,0.05,0.2,0.31999999999999995,0.68,0.6801280910869951,0.68,0.6799431009957326
1,2,3,0,2,500,DecisionTree,gini,0.1,0.1,0.31333333333333335,0.6866666666666666,0.686965811965812,0.6866666666666666,0.6865412831799387
1,2,3,0,2,500,DecisionTree,gini,0.1,0.2,0.31333333333333335,0.6866666666666666,0.686965811965812,0.6866666666666666,0.6865412831799387
1,2,3,0,2,500,DecisionTree,f_test,0.05,0.1,0.2466666666666667,0.7533333333333333,0.7589026162790697,0.7533333333333333,0.7519996425220072
1,2,3,0,2,500,DecisionTree,f_test,0.05,0.2,0.2466666666666667,0.7533333333333333,0.7589026162790697,0.7533333333333333,0.7519996425220072
1,2,3,0,2,500,DecisionTree,f_test,0.1,0.1,0.5,0.5,0.25,0.5,0.3333333333333333
1,2,3,0,2,500,DecisionTree,f_test,0.1,0.2,0.5,0.5,0.25,0.5,0.3333333333333333
1,2,3,0,2,500,RandomForest,entropy,0.05,0.1,0.28,0.72,0.7225319187196548,0.72,0.7192012836512748
1,2,3,0,2,500,RandomForest,entropy,0.05,0.2,0.32666666666666666,0.6733333333333333,0.6736111111111112,0.6733333333333333,0.673202614379085
1,2,3,0,2,500,RandomForest,entropy,0.1,0.1,0.3933333333333333,0.6066666666666667,0.6286449399656946,0.6066666666666667,0.5891174149217698
1,2,3,0,2,500,RandomForest,entropy,0.1,0.2,0.28,0.72,0.7201565557729941,0.72,0.719950213371266
1,2,3,0,2,500,RandomForest,gini,0.05,0.1,0.30000000000000004,0.7,0.7061950146627567,0.7,0.6977296135417134
1,2,3,0,2,500,RandomForest,gini,0.05,0.2,0.2866666666666666,0.7133333333333334,0.7222222222222223,0.7133333333333334,0.7104377104377103
1,2,3,0,2,500,RandomForest,gini,0.1,0.1,0.33333333333333337,0.6666666666666666,0.669683257918552,0.6666666666666666,0.6651785714285715
1,2,3,0,2,500,RandomForest,gini,0.1,0.2,0.29333333333333333,0.7066666666666667,0.712096332785988,0.7066666666666667,0.7047772410091252
1,2,3,0,2,500,RandomForest,f_test,0.05,0.1,0.24,0.76,0.760185020458993,0.76,0.7599573257467995
1,2,3,0,2,500,RandomForest,f_test,0.05,0.2,0.3733333333333333,0.6266666666666667,0.6344086021505376,0.6266666666666667,0.6212121212121212
1,2,3,0,2,500,RandomForest,f_test,0.1,0.1,0.33999999999999997,0.66,0.6602564102564104,0.66,0.6598639455782314
1,2,3,0,2,500,RandomForest,f_test,0.1,0.2,0.3533333333333334,0.6466666666666666,0.6473214285714285,0.6466666666666666,0.646273637374861
1,2,3,0,2,500,ANN,1,3.0,SGD,0.24,0.76,0.7758913412563667,0.76,0.7564935064935066
1,2,3,0,2,500,ANN,1,3.0,Adam,0.2666666666666667,0.7333333333333333,0.755300525189652,0.7333333333333333,0.7274709302325582
1,2,3,0,2,500,ANN,1,3.0,RMSprop,0.28,0.72,0.7500505152556072,0.72,0.7113269794721407
1,2,3,0,2,500,ANN,1,15.0,SGD,0.23333333333333328,0.7666666666666667,0.7849544072948328,0.7666666666666667,0.7628619178824699
1,2,3,0,2,500,ANN,1,15.0,Adam,0.26,0.74,0.7604166666666666,0.74,0.7348021215830274
1,2,3,0,2,500,ANN,1,15.0,RMSprop,0.22666666666666668,0.7733333333333333,0.7863661761966847,0.7733333333333333,0.7707246898039921
1,2,3,0,2,500,ANN,2,3.0,SGD,0.24,0.76,0.7758913412563667,0.76,0.7564935064935066
1,2,3,0,2,500,ANN,2,3.0,Adam,0.21333333333333337,0.7866666666666666,0.7918552036199096,0.7866666666666666,0.7857142857142857
1,2,3,0,2,500,ANN,2,3.0,RMSprop,0.2666666666666667,0.7333333333333333,0.7711216690766372,0.7333333333333333,0.723706023208694
1,2,3,0,2,500,ANN,2,15.0,SGD,0.20666666666666667,0.7933333333333333,0.8055555555555556,0.7933333333333333,0.7912457912457912
1,2,3,0,2,500,ANN,2,15.0,Adam,0.2533333333333333,0.7466666666666667,0.7748068924539513,0.7466666666666667,0.7400109469074986
1,2,3,0,2,500,ANN,2,15.0,RMSprop,0.31333333333333335,0.6866666666666666,0.7314814814814815,0.6866666666666666,0.670729998598851
1,2,3,0,2,1000,LogisticRegression,logit,,,0.21999999999999997,0.78,0.780448717948718,0.78,0.7799119647859143
1,2,3,0,2,1000,LogisticRegression,probit,,,0.22333333333333338,0.7766666666666666,0.7769744160177976,0.7766666666666666,0.7766046123923313
1,2,3,0,2,1000,DecisionTree,entropy,0.05,0.1,0.33666666666666667,0.6633333333333333,0.6727379553466509,0.6633333333333333,0.6586876936074345
1,2,3,0,2,1000,DecisionTree,entropy,0.05,0.2,0.33666666666666667,0.6633333333333333,0.6727379553466509,0.6633333333333333,0.6586876936074345
1,2,3,0,2,1000,DecisionTree,entropy,0.1,0.1,0.32666666666666666,0.6733333333333333,0.6758658008658008,0.6733333333333333,0.6721530844373077
1,2,3,0,2,1000,DecisionTree,entropy,0.1,0.2,0.32666666666666666,0.6733333333333333,0.6758658008658008,0.6733333333333333,0.6721530844373077
1,2,3,0,2,1000,DecisionTree,gini,0.05,0.1,0.30000000000000004,0.7,0.7001423234299946,0.7,0.6999466571834994
1,2,3,0,2,1000,DecisionTree,gini,0.05,0.2,0.30000000000000004,0.7,0.7001423234299946,0.7,0.6999466571834994
1,2,3,0,2,1000,DecisionTree,gini,0.1,0.1,0.29000000000000004,0.71,0.712121212121212,0.71,0.7092731829573935
1,2,3,0,2,1000,DecisionTree,gini,0.1,0.2,0.29000000000000004,0.71,0.712121212121212,0.71,0.7092731829573935
1,2,3,0,2,1000,DecisionTree,f_test,0.05,0.1,0.5,0.5,0.25,0.5,0.3333333333333333
1,2,3,0,2,1000,DecisionTree,f_test,0.05,0.2,0.5,0.5,0.25,0.5,0.3333333333333333
1,2,3,0,2,1000,DecisionTree,f_test,0.1,0.1,0.5,0.5,0.25,0.5,0.3333333333333333
1,2,3,0,2,1000,DecisionTree,f_test,0.1,0.2,0.5,0.5,0.25,0.5,0.3333333333333333
1,2,3,0,2,1000,RandomForest,entropy,0.05,0.1,0.31666666666666665,0.6833333333333333,0.6863227788066308,0.6833333333333333,0.6820580327759121
1,2,3,0,2,1000,RandomForest,entropy,0.05,0.2,0.4033333333333333,0.5966666666666667,0.5968776446483453,0.5966666666666667,0.59644695445298
1,2,3,0,2,1000,RandomForest,entropy,0.1,0.1,0.33999999999999997,0.66,0.6722488038277512,0.66,0.6538461538461537
1,2,3,0,2,1000,RandomForest,entropy,0.1,0.2,0.41333333333333333,0.5866666666666667,0.5867283401529977,0.5866666666666667,0.5865931721194878
1,2,3,0,2,1000,RandomForest,gini,0.05,0.1,0.32666666666666666,0.6733333333333333,0.6734566803059954,0.6733333333333333,0.6732752489331437
1,2,3,0,2,1000,RandomForest,gini,0.05,0.2,0.32999999999999996,0.67,0.6766009511057759,0.67,0.6668872463800626
1,2,3,0,2,1000,RandomForest,gini,0.1,0.1,0.29000000000000004,0.71,0.7134242739057771,0.71,0.7088320931737302
1,2,3,0,2,1000,RandomForest,gini,0.1,0.2,0.31333333333333335,0.6866666666666666,0.7251286449399658,0.6866666666666666,0.6726867542597149
1,2,3,0,2,1000,RandomForest,f_test,0.05,0.1,0.29000000000000004,0.71,0.719369515762106,0.71,0.7068700232482396
1,2,3,0,2,1000,RandomForest,f_test,0.05,0.2,0.3466666666666667,0.6533333333333333,0.6663773148148149,0.6533333333333333,0.6464028287773698
1,2,3,0,2,1000,RandomForest,f_test,0.1,0.1,0.3766666666666667,0.6233333333333333,0.6234705228031145,0.6233333333333333,0.6232286746318423
1,2,3,0,2,1000,RandomForest,f_test,0.1,0.2,0.31000000000000005,0.69,0.6984771809276197,0.69,0.6866541627826008
1,2,3,0,2,1000,ANN,1,3.0,SGD,0.26,0.74,0.7625948259093562,0.74,0.7342841569767442
1,2,3,0,2,1000,ANN,1,3.0,Adam,0.28,0.72,0.7586747491638797,0.72,0.7091278452375457
1,2,3,0,2,1000,ANN,1,3.0,RMSprop,0.2833333333333333,0.7166666666666667,0.7706679251568486,0.7166666666666667,0.7017927518097088
1,2,3,0,2,1000,ANN,1,15.0,SGD,0.2633333333333333,0.7366666666666667,0.7578567623843881,0.7366666666666667,0.731143152091298
1,2,3,0,2,1000,ANN,1,15.0,Adam,0.2733333333333333,0.7266666666666667,0.7633753356744474,0.7266666666666667,0.7167986737889114
1,2,3,0,2,1000,ANN,1,15.0,RMSprop,0.2766666666666666,0.7233333333333334,0.7580231065468549,0.7233333333333334,0.713710836447255
1,2,3,0,2,1000,ANN,2,3.0,SGD,0.27,0.73,0.7600633197648123,0.73,0.7219647822057461
1,2,3,0,2,1000,ANN,2,3.0,Adam,0.25,0.75,0.770185887890869,0.75,0.7452416807255516
1,2,3,0,2,1000,ANN,2,3.0,RMSprop,0.25,0.75,0.7597072810379056,0.75,0.7476418533182293
1,2,3,0,2,1000,ANN,2,15.0,SGD,0.26,0.74,0.7649136577708007,0.74,0.7337399299076054
1,2,3,0,2,1000,ANN,2,15.0,Adam,0.25,0.75,0.7661965832189673,0.75,0.7461384842775101
1,2,3,0,2,1000,ANN,2,15.0,RMSprop,0.30000000000000004,0.7,0.7690743841186319,0.7,0.679426291793313
1,2,3,0,2,10000,LogisticRegression,logit,,,0.20966666666666667,0.7903333333333333,0.790343785709619,0.7903333333333333,0.7903314463163503
1,2,3,0,2,10000,LogisticRegression,probit,,,0.20833333333333337,0.7916666666666666,0.7916730186568508,0.7916666666666666,0.7916655324012319
1,2,3,0,2,10000,DecisionTree,entropy,0.05,0.1,0.2516666666666667,0.7483333333333333,0.7484394445805519,0.7483333333333333,0.7483064580562435
1,2,3,0,2,10000,DecisionTree,entropy,0.05,0.2,0.2516666666666667,0.7483333333333333,0.7484394445805519,0.7483333333333333,0.7483064580562435
1,2,3,0,2,10000,DecisionTree,entropy,0.1,0.1,0.2316666666666667,0.7683333333333333,0.7687491180800161,0.7683333333333333,0.7682436951447554
