Iteration,Classes_Dep_Var,Num_Ind_Vars,Num_Categorical_Vars,Classes_Ind_Vars,Sample_Size,Model,Hyperparameter_1,Hyperparameter_2,Hyperparameter_3,Misclassification,Accuracy,Precision,Recall,F1_Score
1,2,3,0,2,100,LogisticRegression,logit,,,0.1333333333333333,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667
1,2,3,0,2,100,LogisticRegression,probit,,,0.1333333333333333,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8666666666666667
1,2,3,0,2,100,DecisionTree,entropy,0.05,0.1,0.2666666666666667,0.7333333333333333,0.7375565610859728,0.7333333333333333,0.7321428571428572
1,2,3,0,2,100,DecisionTree,entropy,0.05,0.2,0.2666666666666667,0.7333333333333333,0.7375565610859728,0.7333333333333333,0.7321428571428572
1,2,3,0,2,100,DecisionTree,entropy,0.1,0.1,0.2666666666666667,0.7333333333333333,0.7375565610859728,0.7333333333333333,0.7321428571428572
1,2,3,0,2,100,DecisionTree,entropy,0.1,0.2,0.2666666666666667,0.7333333333333333,0.7375565610859728,0.7333333333333333,0.7321428571428572
1,2,3,0,2,100,DecisionTree,gini,0.05,0.1,0.2666666666666667,0.7333333333333333,0.7375565610859728,0.7333333333333333,0.7321428571428572
1,2,3,0,2,100,DecisionTree,gini,0.05,0.2,0.2666666666666667,0.7333333333333333,0.7375565610859728,0.7333333333333333,0.7321428571428572
1,2,3,0,2,100,DecisionTree,gini,0.1,0.1,0.2666666666666667,0.7333333333333333,0.7375565610859728,0.7333333333333333,0.7321428571428572
1,2,3,0,2,100,DecisionTree,gini,0.1,0.2,0.2666666666666667,0.7333333333333333,0.7375565610859728,0.7333333333333333,0.7321428571428572
1,2,3,0,2,100,DecisionTree,f_test,0.05,0.1,0.23333333333333328,0.7666666666666667,0.7777777777777779,0.7666666666666667,0.7643097643097643
1,2,3,0,2,100,DecisionTree,f_test,0.05,0.2,0.23333333333333328,0.7666666666666667,0.7777777777777779,0.7666666666666667,0.7643097643097643
1,2,3,0,2,100,DecisionTree,f_test,0.1,0.1,0.23333333333333328,0.7666666666666667,0.7777777777777779,0.7666666666666667,0.7643097643097643
1,2,3,0,2,100,DecisionTree,f_test,0.1,0.2,0.23333333333333328,0.7666666666666667,0.7777777777777779,0.7666666666666667,0.7643097643097643
1,2,3,0,2,100,RandomForest,entropy,0.05,0.1,0.3666666666666667,0.6333333333333333,0.6339285714285715,0.6333333333333333,0.6329254727474972
1,2,3,0,2,100,RandomForest,entropy,0.05,0.2,0.4,0.6,0.6076555023923444,0.6,0.5927601809954751
1,2,3,0,2,100,RandomForest,entropy,0.1,0.1,0.30000000000000004,0.7,0.7083333333333334,0.7,0.696969696969697
1,2,3,0,2,100,RandomForest,entropy,0.1,0.2,0.4,0.6,0.6076555023923444,0.6,0.5927601809954751
1,2,3,0,2,100,RandomForest,gini,0.05,0.1,0.3666666666666667,0.6333333333333333,0.6339285714285715,0.6333333333333333,0.6329254727474972
1,2,3,0,2,100,RandomForest,gini,0.05,0.2,0.33333333333333337,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
1,2,3,0,2,100,RandomForest,gini,0.1,0.1,0.30000000000000004,0.7,0.7083333333333334,0.7,0.696969696969697
1,2,3,0,2,100,RandomForest,gini,0.1,0.2,0.33333333333333337,0.6666666666666666,0.6794258373205742,0.6666666666666666,0.6606334841628959
