Classes_Dep_Var,Num_Categorical_Vars,Classes_Ind_Vars,Sample_Size,ANN,DecisionTree,LogisticRegression,RandomForest
2,1,2,100,0.1999999999999999,0.2666666666666667,0.1999999999999999,0.1666666666666666
2,1,2,500,0.2666666666666667,0.2933333333333333,0.2533333333333333,0.2466666666666667
2,1,2,1000,0.1866666666666666,0.2666666666666667,0.1833333333333333,0.2366666666666667
2,1,2,10000,0.1983333333333333,0.2393333333333333,0.2009999999999999,0.253
2,1,3,100,0.2333333333333332,0.2666666666666667,0.3,0.3
2,1,3,500,0.1866666666666666,0.3066666666666666,0.1999999999999999,0.26
2,1,3,1000,0.1566666666666666,0.2466666666666667,0.1633333333333333,0.1999999999999999
2,1,3,10000,0.1826666666666666,0.2239999999999999,0.1866666666666666,0.24
2,2,2,100,0.1333333333333333,0.1333333333333333,0.1666666666666666,0.0999999999999999
2,2,2,500,0.1866666666666666,0.2333333333333332,0.2066666666666666,0.2666666666666667
2,2,2,1000,0.18,0.28,0.18,0.24
2,2,2,10000,0.186,0.2313333333333332,0.1833333333333333,0.2216666666666666
2,2,3,100,0.0666666666666666,0.2333333333333332,0.1333333333333333,0.1666666666666666
2,2,3,500,0.2199999999999999,0.3133333333333333,0.2266666666666666,0.2533333333333333
2,2,3,1000,0.2099999999999999,0.2933333333333333,0.1899999999999999,0.2766666666666666
2,2,3,10000,0.1823333333333333,0.2269999999999999,0.18,0.2236666666666666
2,3,2,100,0.0333333333333333,0.2333333333333332,0.0,0.1666666666666666
2,3,2,500,0.1466666666666666,0.2266666666666666,0.1666666666666666,0.2133333333333333
2,3,2,1000,0.1833333333333333,0.2533333333333333,0.1833333333333333,0.2533333333333333
2,3,2,10000,0.174,0.2033333333333333,0.1736666666666666,0.2219999999999999
2,3,3,100,0.1666666666666666,0.3666666666666667,0.0999999999999999,0.2666666666666667
2,3,3,500,0.12,0.2199999999999999,0.1266666666666667,0.1933333333333333
2,3,3,1000,0.14,0.2099999999999999,0.15,0.2099999999999999
2,3,3,10000,0.136,0.169,0.135,0.176
2,4,2,100,0.0666666666666666,0.1999999999999999,0.0666666666666666,0.1333333333333333
2,4,2,500,0.1266666666666667,0.1999999999999999,0.1333333333333333,0.1666666666666666
2,4,2,1000,0.1166666666666667,0.1766666666666666,0.1266666666666667,0.18
2,4,2,10000,0.144,0.1536666666666666,0.149,0.1506666666666666
2,4,3,100,0.1999999999999999,0.3666666666666667,0.1333333333333333,0.2333333333333332
2,4,3,500,0.1266666666666667,0.1933333333333333,0.14,0.16
2,4,3,1000,0.1066666666666666,0.1866666666666666,0.1099999999999999,0.18
