CL_Y,CA,CL_X,S,ANN,DT,LR
2,1,2,100,0.3333,0.2333,0.2
2,1,2,500,0.3067,0.28,0.2733
2,1,2,1000,0.2633,0.32,0.2867
2,1,2,"10,000",0.324,0.3483,0.3193
2,1,3,100,0.2667,0.2,0.3
2,1,3,500,0.3333,0.28,0.3067
2,1,3,1000,0.34,0.3367,0.2833
2,1,3,"10,000",0.3217,0.3413,0.3233
2,2,2,100,0.4,0.4333,0.3667
2,2,2,500,0.3267,0.38,0.3267
2,2,2,1000,0.3167,0.33,0.32
2,2,2,"10,000",0.3527,0.3753,0.3527
2,2,3,100,0.3,0.3333,0.3333
2,2,3,500,0.3467,0.4,0.3667
2,2,3,1000,0.34,0.4,0.33
2,2,3,"10,000",0.3522,0.3667,0.356
2,3,2,100,0.3667,0.4333,0.3
2,3,2,500,0.14,0.2914,0.3657
2,3,2,1000,0.3333,0.3233,0.32
2,3,2,"10,000",0.3627,0.385,0.355
2,3,3,100,0.4333,0.3333,0.3333
2,3,3,500,0.3733,0.4,0.4333
2,3,3,1000,0.3767,0.3933,0.36
2,3,3,"10,000",0.368,0.3753,0.3627
2,4,2,100,0.4667,0.3,0.4333
2,4,2,500,0.3267,0.32,0.3133
2,4,2,1000,0.31,0.2933,0.3
2,4,2,"10,000",0.3393,0.3543,0.3353
2,4,3,100,0.3333,0.2667,0.3
2,4,3,500,0.3267,0.3133,0.2867
2,4,3,1000,0.31,0.3567,0.3167
2,4,3,"10,000",0.3473,0.3827,0.3433
3,1,2,100,0.2667,0.4,0.3667
3,1,2,500,0.4533,0.5267,0.4933
3,1,2,1000,0.4567,0.4467,0.4933
3,1,2,"10,000",0.4356,0.458,0.4377
3,1,3,100,0.4667,0.3333,0.3333
3,1,3,500,0.3933,0.4467,0.4067
3,1,3,1000,0.3871,0.4194,0.4194
3,1,3,"10,000",0.4679,0.5,0.4615
3,2,2,100,0.4,0.4333,0.4
3,2,2,500,0.5533,0.54,0.5533
3,2,2,1000,0.4933,0.52,0.52
3,2,2,"10,000",0.4613,0.468,0.4643
3,2,3,100,0.4,0.4667,0.3667
3,2,3,500,0.4733,0.4933,0.46
3,2,3,1000,0.4452,0.4581,0.4322
3,2,3,"10,000",0.4745,0.4423,0.4871
3,3,2,100,0.3333,0.5,0.5
3,3,2,500,0.5733,0.54,0.5533
3,3,2,1000,0.4833,0.5133,0.4967
3,3,2,"10,000",0.4667,0.4883,0.4867
3,3,3,100,0.4,0.4667,0.4667
3,3,3,500,0.48,0.4933,0.4933
3,3,3,1000,0.4194,0.4645,0.4581
3,3,3,"10,000",0.5128,0.4679,0.5
3,4,2,100,0.3667,0.5667,0.4667
3,4,2,500,0.4867,0.54,0.5
3,4,2,1000,0.4667,0.4933,0.4776
3,4,2,"10,000",0.4383,0.4743,0.4423
3,4,3,100,0.4,0.4,0.4333
3,4,3,500,0.3867,0.36,0.3933
3,4,3,1000,0.4194,0.4129,0.4129
3,4,3,"10,000",0.4744,0.4615,0.4872
4,1,2,100,0.5333,0.4,0.5667
4,1,2,500,0.5267,0.5733,0.5933
4,1,2,1000,0.5467,0.6433,0.5833
4,1,2,"10,000",0.5987,0.607,0.637
4,1,3,100,0.3667,0.4333,0.4667
4,1,3,500,0.5553,0.6133,0.5733
4,1,3,1000,0.5677,0.6,0.5742
4,1,3,"10,000",0.609,0.7115,0.5833
4,2,2,100,0.5333,0.6,0.6667
4,2,2,500,0.6667,0.6933,0.7067
4,2,2,1000,0.6167,0.64,0.6467
4,2,2,"10,000",0.6377,0.6467,0.6343
4,2,3,100,0.5333,0.7,0.6
4,2,3,500,0.66,0.6867,0.6467
4,2,3,1000,0.5677,0.6129,0.6065
4,2,3,"10,000",0.6667,0.7115,0.6538
4,3,2,100,0.5667,0.6333,0.6333
4,3,2,500,0.7,0.7067,0.7267
4,3,2,1000,0.61,0.6233,0.6133
4,3,2,"10,000",0.635,0.6703,0.6287
4,3,3,100,0.4667,0.7333,0.6667
4,3,3,500,0.6667,0.7067,0.7
4,3,3,1000,0.6,0.6258,0.6516
4,3,3,"10,000",0.6603,0.6667,0.6795
4,4,2,100,0.5,0.5333,0.6
4,4,2,500,0.5467,0.7,0.6133
4,4,2,1000,0.5663,0.6433,0.5733
4,4,2,"10,000",0.621,0.6417,0.6183
4,4,3,100,0.5333,0.4667,0.6
4,4,3,500,0.56,0.6133,0.58
4,4,3,1000,0.5806,0.6581,0.6065
4,4,3,"10,000",0.641,0.6282,0.6603
